job_id,rep,n_steps,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,modularity,proportion_pure_edges,mean_majority_proportion
8,0,1000,0.6000,0.4000,1.5000,0.5000,0.2000,0.1000,0.1739,0.3643,0.8195
8,0,1000,0.5500,0.4500,1.0000,0.2000,0.2000,0.1000,0.2032,0.5549,0.8602
8,0,1000,0.9250,0.0750,0.5000,0.5000,0.2000,0.1000,0.2158,0.5180,0.8568
8,0,1000,0.9500,0.0500,2.0000,0.5000,0.2000,0.1000,0.2952,0.5319,0.9241
8,0,1000,0.7250,0.2750,0.5000,0.2000,0.2000,0.1000,0.2201,0.5968,0.8731
8,0,1000,0.5000,0.5000,2.0000,0.2000,0.2000,0.1000,0.1514,0.5679,0.8941
8,0,1000,1.0000,0.0000,2.0000,0.2000,0.2000,0.1000,0.4070,0.7395,0.9670
8,0,1000,0.9000,0.1000,1.0000,0.5000,0.2000,0.1000,0.2455,0.4870,0.8654
8,0,1000,0.8000,0.2000,2.0000,0.2000,0.2000,0.1000,0.3829,0.6737,0.9416
8,0,1000,0.7000,0.3000,2.0000,0.5000,0.2000,0.1000,0.1693,0.3972,0.8657
8,0,1000,0.9250,0.0750,1.5000,0.2000,0.2000,0.1000,0.1479,0.7365,0.9578
8,0,1000,0.9000,0.1000,0.5000,0.2000,0.2000,0.1000,0.3097,0.7026,0.9282
8,0,1000,0.9250,0.0750,1.0000,0.2000,0.2000,0.1000,0.3513,0.7285,0.9500
8,0,1000,1.0000,0.0000,1.0000,0.5000,0.2000,0.1000,0.3366,0.5489,0.9069
8,0,1000,0.5250,0.4750,0.5000,0.2000,0.2000,0.1000,0.0632,0.4990,0.8237
8,0,1000,0.7250,0.2750,2.0000,0.2000,0.2000,0.1000,0.3542,0.6437,0.9257
8,0,1000,0.5250,0.4750,2.0000,0.2000,0.2000,0.1000,0.2732,0.5469,0.8891
8,0,1000,0.9000,0.1000,1.5000,0.5000,0.2000,0.1000,0.2834,0.4760,0.8920
8,0,1000,0.7000,0.3000,1.5000,0.5000,0.2000,0.1000,0.2296,0.4022,0.8442
8,0,1000,1.0000,0.0000,0.5000,0.5000,0.2000,0.1000,0.2717,0.5499,0.8840
8,0,1000,0.8250,0.1750,0.5000,0.5000,0.2000,0.1000,0.1911,0.4601,0.8368
8,0,1000,0.8250,0.1750,2.0000,0.5000,0.2000,0.1000,0.2792,0.4691,0.8903
8,0,1000,0.7250,0.2750,1.5000,0.2000,0.2000,0.1000,0.3274,0.5818,0.9012
8,0,1000,0.6250,0.3750,2.0000,0.5000,0.2000,0.1000,0.1808,0.3513,0.8299
8,0,1000,0.9750,0.0250,0.5000,0.2000,0.2000,0.1000,0.3032,0.7325,0.9327
8,0,1000,0.5500,0.4500,2.0000,0.2000,0.2000,0.1000,0.2484,0.4770,0.8625
8,0,1000,0.6500,0.3500,0.5000,0.5000,0.2000,0.1000,0.0529,0.3952,0.7843
8,0,1000,0.9250,0.0750,0.5000,0.2000,0.2000,0.1000,0.2892,0.6836,0.9162
8,0,1000,0.8500,0.1500,1.5000,0.2000,0.2000,0.1000,0.1327,0.7046,0.9494
8,0,1000,0.6250,0.3750,2.0000,0.2000,0.2000,0.1000,0.3040,0.5649,0.8973
8,0,1000,0.6750,0.3250,2.0000,0.5000,0.2000,0.1000,0.1860,0.4002,0.8502
8,0,1000,0.5750,0.4250,1.0000,0.2000,0.2000,0.1000,0.1892,0.5250,0.8551
8,0,1000,0.9750,0.0250,2.0000,0.5000,0.2000,0.1000,0.3887,0.5529,0.9303
8,0,1000,0.5750,0.4250,2.0000,0.5000,0.2000,0.1000,0.1908,0.3603,0.8271
8,0,1000,0.6750,0.3250,1.5000,0.5000,0.2000,0.1000,0.1867,0.3593,0.8271
8,0,1000,0.5500,0.4500,2.0000,0.5000,0.2000,0.1000,0.1664,0.3234,0.8163
8,0,1000,0.5500,0.4500,0.5000,0.2000,0.2000,0.1000,0.1202,0.5289,0.8355
8,0,1000,0.6250,0.3750,0.5000,0.2000,0.2000,0.1000,0.1250,0.5529,0.8484
8,0,1000,0.9250,0.0750,2.0000,0.2000,0.2000,0.1000,0.3625,0.7325,0.9616
8,0,1000,0.9500,0.0500,1.5000,0.5000,0.2000,0.1000,0.3423,0.5090,0.9102
8,0,1000,0.6750,0.3250,0.5000,0.5000,0.2000,0.1000,0.0794,0.3633,0.7857
8,0,1000,0.6500,0.3500,0.5000,0.2000,0.2000,0.1000,0.2277,0.6856,0.8931
8,0,1000,0.6750,0.3250,1.0000,0.5000,0.2000,0.1000,0.1231,0.3393,0.7914
8,0,1000,0.9000,0.1000,1.0000,0.2000,0.2000,0.1000,0.2180,0.7036,0.9410
8,0,1000,0.8250,0.1750,0.5000,0.2000,0.2000,0.1000,0.2981,0.7066,0.9180
8,0,1000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,0.0630,0.3024,0.7679
8,0,1000,0.9250,0.0750,1.0000,0.5000,0.2000,0.1000,0.3059,0.5389,0.8907
8,0,1000,0.9000,0.1000,2.0000,0.5000,0.2000,0.1000,0.3408,0.5060,0.9122
8,0,1000,0.8250,0.1750,2.0000,0.2000,0.2000,0.1000,0.3884,0.6856,0.9406
8,0,1000,0.6750,0.3250,1.5000,0.2000,0.2000,0.1000,0.2790,0.6287,0.9116
8,0,1000,0.6000,0.4000,0.5000,0.5000,0.2000,0.1000,0.0272,0.3603,0.7709
8,0,1000,0.9500,0.0500,1.0000,0.2000,0.2000,0.1000,0.3544,0.7196,0.9456
